Index	AvgScore	Score	NormalizedClaim	Text
2	0.5604	0.5604	This leopard cub's mother was killed by a trophy hunter	A baby animal with sad eyes, likely an orphaned cub, after its mother was killed by a hunter.
5	0.4319	0.3035	Photo shows August 26, 2021 explosion near Kabul airport	Explosion outside Kabul airport, 40 dead, 120 injured, chaos erupts.
7	0.4117	0.3713	This video shows Amitabh Bachchan thanking healthcare workers after he was hospitalised for COVID-19 in July 2020	Amitabh Bachchan in a hospital bed, likely recording a video after testing positive for Covid-19.
9	0.3270	0.0730	American Medical Association Rescinds Previous Statement Against Prescription of Hydroxychloroquine to COVID-19 Patients.	A person criticizing an ex-US president's stance on hydroxychloroquine.
10	0.2739	0.0615	Brazilains participating in India’s nationwide COVID-19 candle light vigil, which Indian Prime Minister Narendra Modi called for on April 3, 2020.	Brazilian TV channels broadcast Indian PM Modi's speech.
12	0.2426	0.0862	Photo shows Sri Lankan police during a drug bust operation that turned violent in Atulugama in September 2020	A photo of a beautiful moon over Athalugama, Sri Lanka.
13	0.2223	0.1000	Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia	A photo of a parliament or legislative building with people debating various social issues.
14	0.2456	0.4090	Photo shows anti-vaccine passport protest in France	Protesters in France holding signs against medical mandates.
17	0.2408	0.2023	This video shows only Islamic prayer was played during Delhi's tableau at Republic Day parade	A Republic Day tableau in Delhi with "AllahHuAkbar" inscription.
19	0.2378	0.2112	750,000 people attended anti-lockdown rally in London on April 24, 2021	A photo of a massive London Freedom March with 750,000 people protesting.
21	0.2364	0.2222	Video shows Russian soldiers landing in Ukraine in 2022	Russian paratroopers landing in Ukraine, near Kharkov.
22	0.2199	0.0388	Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country	A photo of an executive order allowing basketball with same-barangay players.
27	0.2139	0.1408	Images show colossal ancient tree stumps	A photo of a petrified tree trunk with a mysterious, ancient, and mystical atmosphere.
32	0.2106	0.1689	Philippine department of health releases guideline on appropriate COVID-19 face shields	A person is questioning Sec. Duque about face shield specifications.
