avg_score:0.1113	median_score:0.0954
Index	AvgScore	Score	NormalizedClaim	Text
9	0.1014	0.1014	American Medical Association Rescinds Previous Statement Against Prescription of Hydroxychloroquine to COVID-19 Patients.	The user is criticizing the government's inconsistent stance on hydroxychloroquine, implying hypocrisy and questioning the credibility of the president.
10	0.1302	0.1591	Brazilains participating in India’s nationwide COVID-19 candle light vigil, which Indian Prime Minister Narendra Modi called for on April 3, 2020.	The post mocks the repetition of information and lack of action, implying that the Brazilian government or media is blindly following or imitating India's Prime Minister Modi without taking concrete actions.
12	0.0868	0.0000	Photo shows Sri Lankan police during a drug bust operation that turned violent in Atulugama in September 2020	The user is mocking the repetition and inefficiency of government or institutional responses, comparing them to repetitive and nonsensical text.
13	0.0727	0.0303	Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia	The government is being criticized for neglecting crucial issues, such as mental health, worker compensation, and environmental contamination, while prioritizing politician's pay and allowances.
17	0.1027	0.2228	This video shows only Islamic prayer was played during Delhi's tableau at Republic Day parade	The user criticizes the Delhi government for allegedly promoting Islamic supremacy on Republic Day, implying a threat to India's secularism.
19	0.0971	0.0690	750,000 people attended anti-lockdown rally in London on April 24, 2021	The government is portrayed as a "freedoms destroyer" and "tyrant", implying oppression and restriction of individual rights, with London's protest serving as a metaphor for resistance against government overreach.
21	0.0832	0.0000	Video shows Russian soldiers landing in Ukraine in 2022	The post spreads information and updates about the Russia-Ukraine conflict, possibly sensationalizing it with hashtags like #WWIII.
22	0.0773	0.0357	Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country	The government is overregulating everyday activities, such as basketball, by imposing strict protocols and giving local authorities excessive monitoring power.
27	0.0737	0.0455	Images show colossal ancient tree stumps	The metaphorical entity, giant trees of Silicon, represents a powerful and wise institution or system that shared knowledge and wisdom with humanity, but was cut down, symbolizing the destruction or suppression of this entity by unknown forces, possibly referring to the exploitation of technology and knowledge by governments or corporations.
32	0.0966	0.3024	Philippine department of health releases guideline on appropriate COVID-19 face shields	The user is mocking the Department of Health and Secretary Duque, implying they are being scammed by a lack of clear guidance on face shields, using repetition and sarcastic tone to criticize the government's handling of the epidemic.
36	0.0968	0.0990	Thousands of Russian Army soldiers parachute into Ukraine.	The user is discussing a potential war scenario between Russia and Ukraine, highlighting key military strategies and targets.
40	0.0943	0.0667	Video of footballer Andre Gomes' ankle being pushed back into place	The metaphorical entity, likely representing a government or institution, causes harm to an individual (Gomes), and another entity (Son) is blamed for the harm, but is actually innocent and devastated by the consequences.
42	0.1018	0.1923	Dischem pharmacy mocks rival over racism row	The user is mocking Dis-Chem pharmacies, implying they prioritize profits over public health.
43	0.0946	0.0000	South Africans can refuse COVID-19 isolation	The government and hospitals are metaphorically portrayed as entities trying to harm or kill people, with the pandemic being used as a means to control or reduce the population.
48	0.0945	0.0935	Fauci is alone in saying hydroxychloroquine unproven against COVID-19	The post criticizes Dr. Fauci and implies that he is ignoring global medical evidence, suggesting a metaphor for institutional denial or suppression of truth.
50	0.0950	0.1026	The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”	The post criticizes media for potentially downplaying or ignoring the Texas school shooting due to the perpetrator's demographics not fitting their narrative.
54	0.0958	0.1087	Paul Pogba quit France’s national football team over president’s remarks on Islam	The post uses a soccer player's (Pogba) decision to quit the French national team as a metaphor to criticize the French government's handling of Muslim-related issues and to call for a boycott of French goods.
55	0.0961	0.1010	Biden faked an interaction with reporters	The user implies the government, specifically Biden, is fake or deceptive, and the repeated phrase "this is all a façade" suggests a lack of authenticity, while the mic incident is used to question the validity of official information.
61	0.0946	0.0676	Elderly Chinese couple hold hands in hospital after they were infected with coronavirus	The post criticizes the government's handling of the coronavirus pandemic, implying that the institution's failures are causing irreparable harm and separation, like the couple's goodbye.
