Index	AvgScore	Score	NormalizedClaim	Text
	AvgScore	Score	NormalizedClaim	Text
1	0.3549	0.3549	Photo shows Louis Armstrong as a child	Louis Armstrong was helped by a Jewish family.
2	0.5604	0.5604	This leopard cub's mother was killed by a trophy hunter	A baby animal with sad eyes, likely an orphaned cub, after its mother was killed by a hunter.
3	0.1766	0.3221	Videos show current situation of Hyderabad amid heavy rain	A heavy rain alert has been issued for Hyderabad due to the potential presence of crocodiles.
4	0.2438	0.3305	Joe Biden lives in a large estate bought on a senator's salary	Joe Biden's wealth is suspiciously disproportionate to his senator salary.
5	0.4319	0.3035	Photo shows August 26, 2021 explosion near Kabul airport	Explosion outside Kabul airport, 40 dead, 120 injured, chaos erupts.
6	0.2142	0.3377	White people own only 22 percent of South Africa’s land	White South Africans privately own approximately 22% of the total land in South Africa, totaling 27,020,651 hectares, which includes 357,507 hectares of urban land and 26,663,144 hectares of agricultural land.
7	0.4117	0.3713	This video shows Amitabh Bachchan thanking healthcare workers after he was hospitalised for COVID-19 in July 2020	Amitabh Bachchan in a hospital bed, likely recording a video after testing positive for Covid-19.
8	0.2584	0.5160	Publix supermarket chain will stop carrying Ben & Jerry's	Publix has announced that it will no longer carry Ben & Jerry's products due to the company's recent statement, in a move that demonstrates Publix's support for Israel.
9	0.1614	0.1893	American Medical Association Rescinds Previous Statement Against Prescription of Hydroxychloroquine to COVID-19 Patients.	The author criticizes the changing perception of hydroxychloroquine.
10	0.1302	0.1591	Brazilains participating in India’s nationwide COVID-19 candle light vigil, which Indian Prime Minister Narendra Modi called for on April 3, 2020.	The post mocks the repetition of information and lack of action, implying that the Brazilian government or media is blindly following or imitating India's Prime Minister Modi without taking concrete actions.
(I removed the repetitive sentences and the unrelated text "JOSHUA LUTZ I REPPNFORCHRIST.COM" to create a concise and standardized claim with one sentence.)
11	0.2453	0.5261	Cars melt due to hot weather in Saudi Arabia	A car melted due to the scorching heat in Oman.
12	0.2426	0.0862	Photo shows Sri Lankan police during a drug bust operation that turned violent in Atulugama in September 2020	A photo of a beautiful moon over Athalugama, Sri Lanka.
13	0.2231	0.1725	Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia	Changes to legislation are difficult due to debates on various critical issues, including PTSD in emergency services, mental health stigma, workers' compensation, cancer legislation for firefighters, MP's pay and allowances, PFAS contamination, and rising suicide figures in Australia.
14	0.2456	0.4090	Photo shows anti-vaccine passport protest in France	Protesters in France holding signs against medical mandates.
15	0.2356	0.4747	Nigerian state oil firm generates net profit for the first time in 2020	The Nigerian National Petroleum Corporation (NNPC) has declared a profit after tax of N287 billion in 2020, marking its first profit in 44 years.
16	0.2592	0.6127	Real photo of mammatus clouds over Mumbai	A stunning display of mammatus clouds was captured by Brent Shavnore over Mumbai, India.
17	0.1248	0.2385	This video shows only Islamic prayer was played during Delhi's tableau at Republic Day parade	Criticism of Delhi government's alleged Islamic bias on Republic Day.
18	0.1486	0.4099	Trudeau government plans new home equity tax	The government plans to tax home sales, affecting seniors and subsidized care.
19	0.2378	0.2112	750,000 people attended anti-lockdown rally in London on April 24, 2021	A photo of a massive London Freedom March with 750,000 people protesting.
20	0.2489	0.3912	Australian authorities question safety of AstraZeneca Covid-19 vaccination	The Australian Medical Authorities have questioned the safety of the vaccine being administered in Papua New Guinea, prompting concerns that the country may be being used as a testing ground by the World Health Organization.
